No.;Year;Title;Cover
1;1935;The Public Life of Henry the Ninth;hound-of-the-baskerville-hammer.jpg
2;1935;The Mystery of the Mary Celeste;HOUND-OF-THE-BASKERVILLES-8947-scaled-680x1024.jpg
3;1936;Song of Freedom;sherlock-holmes-and-the-voice-of-terror.jpg
4;1936;Sporting Love;the-adventures-of-sherlock-holmes.jpg
5;1936;The Bank Messenger Mystery;hound-of-the-baskerville-hammer.jpg
6;1947;Death in High Heels;hound-of-the-baskerville-hammer.jpg
7;1948;River Patrol;hound-of-the-baskerville-hammer.jpg
8;1948;Who Killed Van Loon?;hound-of-the-baskerville-hammer.jpg
9;1948;Dick Barton: Special Agent;hound-of-the-baskerville-hammer.jpg
10;1948;The Dark Road;hound-of-the-baskerville-hammer.jpg
11;1949;The Jack of Diamonds;hound-of-the-baskerville-hammer.jpg
12;1949;The Adventures of PC 49;hound-of-the-baskerville-hammer.jpg
13;1949;Doctor Morelle: The Case of the Missing Heiress;hound-of-the-baskerville-hammer.jpg
14;1949;Dick Barton Strikes Back;hound-of-the-baskerville-hammer.jpg
15;1949;Celia: The Sinister Affair of Poor Aunt Nora;hound-of-the-baskerville-hammer.jpg
16;1949;Meet Simon Cherry;hound-of-the-baskerville-hammer.jpg
17;1950;The Man in Black;hound-of-the-baskerville-hammer.jpg
18;1950;Room to Let;hound-of-the-baskerville-hammer.jpg
19;1950;Someone at the Door;hound-of-the-baskerville-hammer.jpg
20;1950;What the Butler Saw;hound-of-the-baskerville-hammer.jpg
21;1950;The Lady Craved Excitement;hound-of-the-baskerville-hammer.jpg
22;1950;Dick Barton at Bay;hound-of-the-baskerville-hammer.jpg
23;1951;The Rossiter Case;hound-of-the-baskerville-hammer.jpg
24;1951;To Have and to Hold;hound-of-the-baskerville-hammer.jpg
25;1951;Chase Me, Charlie;hound-of-the-baskerville-hammer.jpg
26;1951;The Dark Light;hound-of-the-baskerville-hammer.jpg
27;1951;A Case for PC 49;hound-of-the-baskerville-hammer.jpg
28;1951;Black Widow;hound-of-the-baskerville-hammer.jpg
29;1951;Cloudburst;hound-of-the-baskerville-hammer.jpg
30;1951;Whispering Smith Hits London;hound-of-the-baskerville-hammer.jpg
31;1952;Death of an Angel;hound-of-the-baskerville-hammer.jpg
32;1952;The Last Page;hound-of-the-baskerville-hammer.jpg
33;1952;Wings of Danger;hound-of-the-baskerville-hammer.jpg
34;1952;Never Look Back;hound-of-the-baskerville-hammer.jpg
35;1952;Stolen Face;hound-of-the-baskerville-hammer.jpg
36;1952;Lady in the Fog;hound-of-the-baskerville-hammer.jpg
37;1953;The Gambler and the Lady;hound-of-the-baskerville-hammer.jpg
38;1953;Mantrap;hound-of-the-baskerville-hammer.jpg
39;1953;The Flanagan Boy;hound-of-the-baskerville-hammer.jpg
40;1953;Four Sided Triangle;hound-of-the-baskerville-hammer.jpg
41;1953;Spaceways;hound-of-the-baskerville-hammer.jpg
42;1953;The Saint's Return;hound-of-the-baskerville-hammer.jpg
43;1953;Blood Orange;hound-of-the-baskerville-hammer.jpg
44;1954;Face the Music;hound-of-the-baskerville-hammer.jpg
45;1954;The House Across the Lake;hound-of-the-baskerville-hammer.jpg
46;1954;Life with the Lyons;hound-of-the-baskerville-hammer.jpg
47;1954;Murder by Proxy;hound-of-the-baskerville-hammer.jpg
48;1954;Five Days;hound-of-the-baskerville-hammer.jpg
49;1954;A Stranger Came Home;hound-of-the-baskerville-hammer.jpg
50;1954;36 Hours;hound-of-the-baskerville-hammer.jpg
51;1954;Mask of Dust;hound-of-the-baskerville-hammer.jpg
52;1954;The Men of Sherwood Forest;hound-of-the-baskerville-hammer.jpg
53;1954;Third Party Risk;hound-of-the-baskerville-hammer.jpg
54;1955;Break in the Circle;hound-of-the-baskerville-hammer.jpg
55;1955;The Lyons in Paris;hound-of-the-baskerville-hammer.jpg
56;1955;The Glass Cage;hound-of-the-baskerville-hammer.jpg
57;1955;The Quatermass Xperiment;hound-of-the-baskerville-hammer.jpg
58;1956;X the Unknown;hound-of-the-baskerville-hammer.jpg
59;1956;Women Without Men;hound-of-the-baskerville-hammer.jpg
60;1957;The Curse of Frankenstein;hound-of-the-baskerville-hammer.jpg
61;1957;The Abominable Snowman;hound-of-the-baskerville-hammer.jpg
62;1957;Quatermass 2;hound-of-the-baskerville-hammer.jpg
63;1957;The Steel Bayonet;hound-of-the-baskerville-hammer.jpg
64;1958;The Camp on Blood Island;hound-of-the-baskerville-hammer.jpg
65;1958;Murder at Site 3;hound-of-the-baskerville-hammer.jpg
66;1958;Dracula;hound-of-the-baskerville-hammer.jpg
67;1958;Up the Creek;hound-of-the-baskerville-hammer.jpg
68;1958;The Snorkel;hound-of-the-baskerville-hammer.jpg
69;1958;I Only Arsked!;hound-of-the-baskerville-hammer.jpg
70;1958;The Revenge of Frankenstein;hound-of-the-baskerville-hammer.jpg
71;1958;Further Up the Creek;hound-of-the-baskerville-hammer.jpg
72;1959;Don't Panic Chaps!;hound-of-the-baskerville-hammer.jpg
73;1959;The Hound of the Baskervilles;hound-of-the-baskerville-hammer.jpg
74;1959;The Mummy;hound-of-the-baskerville-hammer.jpg
75;1959;The Man Who Could Cheat Death;hound-of-the-baskerville-hammer.jpg
76;1959;The Phoenix;hound-of-the-baskerville-hammer.jpg
77;1959;The Ugly Duckling;hound-of-the-baskerville-hammer.jpg
78;1959;Yesterday's Enemy;hound-of-the-baskerville-hammer.jpg
79;1959;The Stranglers of Bombay;hound-of-the-baskerville-hammer.jpg
